,Utterance,Start,End,Group,Participant,Transcript
20,20,107.08,107.34,7,1,Okay
21,21,107.31,109.09,7,2,It seems to be ten
23,23,112.42,114.67,7,2,Is that blue or purple this is blue I guess
24,24,114.41,115.17,7,3,This is blue
46,46,162.17,163.67,7,1,This one or this one
47,47,163.58,164.92,7,2,eh that one is lighter yeah
61,61,226.5,228.62,7,3,Yeah I think fifty seems right
62,62,227.54,229.59,7,2,Fifty and the purple is
66,66,236.42,244.67,7,3,Fifty oh purple is thirty yellow
68,68,243.0,246.17,7,2,Uh it's not exactly aligning should I
69,69,246.75,251.0,7,2,So this seem it's little more yeah so should I put something here
71,71,250.0,252.09,7,1,Do you want to put ten it is
79,79,267.67,270.0,7,2,Yeah but we put both ten so that they cancel out
80,80,269.75,272.25,7,1,Now it's completely now
88,88,300.75,304.0,7,1,It's okay or we should just us scale it with this one
89,89,303.75,307.32,7,3,Yeah how about we try like twenty and then
100,100,347.25,347.5,7,3,Or here
101,101,347.42,350.0,7,2,So now we're adding three grams where
108,108,371.42,372.67,7,2,So uh
109,109,372.58,375.42,7,3,So is it to the right right now like the scale
110,110,378.21,381.52,7,3,Like the center scale is it to the right okay so
111,111,380.0,385.92,7,2,Yeah are we allowed to ask questions
110,110,378.21,381.52,7,3,Like the center scale is it to the right okay so
112,112,381.25,383.56,7,1,But it doesn't have any
115,115,394.0,395.75,7,3,Oh okay so
116,116,394.03,397.25,7,1,Ah yeah because yeah so it's fifty
116,116,394.03,397.25,7,1,Ah yeah because yeah so it's fifty
117,117,396.5,399.0,7,2,So now we've kind of destructed everything
123,123,429.0,432.0,7,3,Otherwise uh like it wasn't balanced with
124,124,431.52,432.33,7,1,It's slightly off
127,127,438.41,441.62,7,3,But like the scale isn't properly aligned as well so
128,128,441.41,444.42,7,2,It could be forty but can we measure forty
129,129,445.5,448.5,7,3,So so green
130,130,445.67,449.42,7,2,So that is thirty plus ten so that is purple
136,136,469.42,476.25,7,3,Yeah I think so so red ten Yeah
137,137,470.13,477.0,7,2,That is correct Yellow is fifty Purple was thirty Blue is ten
155,155,543.0,543.25,7,3,I can start
156,156,543.21,546.0,7,2,Should we turn or something so that we don't biased
160,160,593.42,600.5,7,1,Do you need help Ok you go
161,161,594.91,610.14,7,3,I don't know like could somebody else like try Ok I can yeah I think we have like two attempts to tell it to you yeah
176,176,685.01,687.84,7,2,because you are distributing with three fingers
177,177,687.11,689.92,7,1,What about put it on one finger
183,183,714.94,717.25,7,1,I think they are equal yeah
184,184,716.66,717.42,7,2,Now it's equal
