,Utterance,Start,End,Group,Participant,Transcript
25,25,106.05,110.84,4,1,I feel like this one is oh yeah so this is 
26,26,110.18,111.34,4,2,Take off a ten
28,28,119.94,125.75,4,1,It doesn't drop completely yeah we can consider this to be thirty then yeah because it doesn’t drop
29,29,123.5,127.41,4,2,Can we yeah and it's obviously not forty
45,45,164.67,167.67,4,2,Weren't those both thirty or no only one of them twenty and thirty 
46,46,165.67,170.31,4,1,No this is twenty you're off the team
53,53,183.06,183.59,4,1,Yeah
54,54,183.33,186.09,4,2,Yellow is fifty green green is a twenty right
54,54,183.33,186.09,4,2,Yellow is fifty green green is a twenty right
55,55,184.34,187.35,4,3,Blue's ten green is a twenty
73,73,297.73,298.75,4,2,Dude what
75,75,297.9,300.33,4,1,I'll google what it is
103,103,459.51,464.67,4,2,I don't have a good answer just so you know I have like a range of somewhat
104,104,463.67,465.99,4,3,I have a range as well
109,109,478.77,480.83,4,1,No way no way
110,110,479.58,480.84,4,2,Yeah let me feel that to
114,114,499.26,502.17,4,3,I like how we abandoned the voting
115,115,501.05,504.06,4,2,Well I think I mean we eliminated some like
118,118,507.15,514.83,4,2,But it's hard to say it makes it look almost lighter well I mean
119,119,512.08,520.74,4,3,Alright I'm ok with this so that's
127,127,543.12,553.76,4,3,Ten ten twenty thirty fifty so plus plus it's fibonnaci it's fucking fibonnaci
128,128,546.55,556.14,4,2,So it's like these these two god
127,127,543.12,553.76,4,3,Ten ten twenty thirty fifty so plus plus it's fibonnaci it's fucking fibonnaci
129,129,549.75,556.14,4,1,Is it fibonacci oh my gosh
128,128,546.55,556.14,4,2,So it's like these these two god
130,130,548.64,564.6,4,3,So ten plus ten is twenty twenty plus ten is thirty thirty plus twenty is fifty so it's eighty so I was fucking right
158,158,676.68,679.25,4,1,I said one thirty I feel like we can't overthink it
159,159,679.08,684.48,4,2,I agree one thirty because it follows fibonacci
167,167,704.97,706.02,4,1,You can also look it up
168,168,706.01,706.95,4,2,I think this is right yeah
