Utterance,Start,End,Group,Participant,Transcript
0,3.09,6.9,6,4,I need to callibrate my cameras and then we can get started
1,11.19,14.61,6,4,The task that you will be completing today is called the weights task
2,15.03,20.61,6,4,In the first part you are going to work together to determine the weights of these colorful cubes here
3,21.12,24.51,6,4,I will tell you that the red cube is ten grams
4,25.44,30.93,6,4,All of the weights are in intervals of ten so you don't need to use the slider at all
5,31.35,38.25,6,4,Um the scale like is a little bit finnicky but like as long as it doesn't drop down it's probably good like you can see right now it's
6,39.75,47.55,6,4,Um so as you work through the tasks if you can place the cubes on the sheet where they go and also fill out the survey
7,47.82,50.79,6,4,Um that is on this computer
8,51,57.09,6,4,With the answers and you guys are going to be group number six and you can now start the survey
9,61.23,64.67,6,1,I guess if this red one's ten grams
10,63.42,66,6,2,We got red ten
11,72.45,76.17,6,1,Seems like it might be about the same
12,80.52,85.29,6,3,I would agree yeah so this one's ten
13,85.47,86.92,6,3,Alright let's see if we can find a twenty
14,89.76,91.06,6,3,Too heavy so
15,91.17,93.15,6,2,Way too heavy
16,97.44,99.78,6,2,This is a sensitive scale
17,102.35,104.28,6,2,Looks like about twenty
18,102.3,103.5,6,1,That's looking pretty even
19,104.76,109.2,6,3,Alright let's see if we can find a thirty
20,110.82,113.19,6,1,So this one is noticeably heavier than
21,109.44,110.75,6,2,Probably that big sucker
22,113.94,115.95,6,1,The purple ish one
23,119.42,121.75,6,1,Making sure that it didn't have the weight at the bottom
24,116.79,125.37,6,2,It's just stuff written at the bottom that's a so that's a ten and a twenty right now right that's looking
25,125.49,127.47,6,2,Well
26,127.62,130.21,6,2,They're increments of ten I would say that's probably
27,130.42,131.76,6,1,Yeah I think
28,130.66,135.96,6,2,Cause that's also a twenty let's double check that that's not also a twenty
29,131.79,132.58,6,1,Yeah it looks a little
30,136.44,141.09,6,2,Cause it um just that one there
31,137.36,138.33,6,3,Is this one a twenty
32,141.18,146.85,6,2,Ok so it's more than twenty but it almost seems like the thirty takes it past but
33,148.2,150.18,6,2,It's so sensitive
34,157.58,159.58,6,2,If they're only in increments of ten it has to be
35,156.33,161.08,6,1,I think yeah it has to be thirty it 
36,160.58,162.57,6,3,I think it could also be the position
37,164.46,166.67,6,2,So big blue is probably thirty
38,162.84,163.67,6,3,Of the weight
39,168.42,171.21,6,1,So I would guess the yellow one is gonna be
40,172.35,174.33,6,1,Forty
41,177.57,178.08,6,2,Fifty
42,178.12,179.55,6,3,Fifty
43,180.33,182.31,6,1,Oh maybe not
44,186.24,190.92,6,3,Yeah that's considerably heavier so this one did we say this was thirty
45,191.01,192.58,6,3,And this was ten
46,192.61,195.21,6,2,Yeah that's thirty green is twenty
47,195.24,196.42,6,2,Red and small blue are both ten
48,196.52,199.41,6,3,It's definitely not thirty so it has to
49,201.21,202.25,6,3,But it's too heavy
50,202.58,203.97,6,1,So that's
51,205.44,209.58,6,1,This is fifty on here so then
