Utterance,Start,End,Group,Participant,Transcript
0,2.88,5.91,2,4,Callibrate my cameras real quick
1,14.82,18.18,2,4,So the task you are completing today is called the weights task
2,18.75,23.1,2,4,In the first part you are going to work together to determine the weight of these five cubes
3,23.52,32.73,2,4,And we can tell you that that red cube right there is ten grams yep and you're going you're going to flip the piece of paper um
4,27.15,28.38,2,2,Can we use this piece of paper
5,33.3,36.42,2,4,You are going to determine the rest of the weights using them
6,36.45,38.76,2,4,Using the scale um
7,39.48,45.21,2,4,And you don't need to use the slider on the scale just like round up to whatever like zero so you don't have to worry about like 23
8,46.83,54.78,2,4,Um and then go ahead and place the scale on the worksheet when you've gotten the weight and also enter it into this survey
9,54.9,57.3,2,4,You guys are going to be group two
10,57.63,58.83,2,4,And you can go ahead and start
11,59.58,65.92,2,2,Alright you guys mind if I just start some tests
12,60.84,68.01,3,1,Ok cool no for sure
13,81.33,85.53,2,1,Yeah it's like a bit slow to level up
14,86.82,88.95,2,1,So I would imagine if this
15,88.98,91.58,2,1,Needle goes over the red line that means they're probably equal
16,92.58,94.65,2,2,And I I think they are
17,94.77,97.05,2,2,Especially since it keeps going back in a
18,97.11,102.39,2,1,Yeah they also just look like relatively the same size but they could be different material you know
19,97.37,98.25,2,2,Even length
20,104.08,106.23,2,1,So that one is probably ten grams too
21,102.45,104.75,2,2,Yeah
22,108.06,111.3,2,1,And then if that's ten grams then we have a two
23,112.29,117.87,2,2,So I'm going to hold back on that one because I think it's the heaviest
24,115.73,116.17,2,1,Yeah
25,119.13,120.16,2,1,We can do like the
26,120.5,121.59,2,2,The green one
27,121.74,123.9,2,2,By touch feels lighter
28,124.68,127.02,2,2,And that looks like it might be about even
29,133.83,136.17,2,1,Ok
30,138,140.31,2,1,There we go that's better
31,141.27,146.91,2,2,Well on the first go through I noticed how it bounced twice and actually get some momentum ok so then
32,144.92,149.08,2,1,Yeah so that's probably twenty grams
33,149.97,151.95,2,1,You'd imagine and then
34,152.31,153.75,2,1,The first two are ten
35,154.58,155.34,2,2,Yep
36,155.49,158.1,2,2,Um
37,158.13,164.17,2,2,So knowing that uh oh sorry the green one was yeah
38,164.31,165.67,2,1,Twenty probably
39,165.56,166.59,2,3,Yeah
40,167.13,169.11,2,3,This is what we are looking at next
41,169.26,171.42,2,2,Yeah
42,192.69,195.87,2,1,So you know twenty plus ten thirty probably
43,195.93,199.5,2,2,Yeah but it still feels like it's leaning towards the two blocks
44,199.75,200.82,2,1,Oh yeah it does
45,216.87,220.01,2,1,I guess it's leveling out a bit more but
46,220.25,221.25,2,2,Yeah
47,221.4,225.41,2,2,I guess and there's no increment so five so we could probably just go with thirty on that
48,222.5,227.46,2,1,Yeah yeah closest like
49,227.7,230.91,2,1,Accuracy wise so then you know
50,231.42,233.46,2,1,You can do the same process with
51,233.61,236.49,2,1,Putting this on that side checking this one
52,237.51,241.77,2,1,Which is too much so we'll put twenty right
53,247.95,250.17,2,2,So that's the twenty and the thirty
54,255.36,258.01,2,2,It's leaning towards one side a bit much
55,258.08,260.67,2,1,Yeah we could probably try it with just ten
56,264.3,268.65,2,1,Oh not enough so probably
57,266.91,267.33,2,2,Ok
58,269.61,271.59,2,1,Twenty then
59,271.92,275.16,2,2,Oh yeah the twenty and the thirty so we'll go with the fifty
60,272.5,274.25,2,1,Yeah and the thirty so fifty
61,285.15,287.16,2,2,Alright
62,288.12,290.1,2,1,Wait did we mix these up or 
63,290.16,291.07,2,2,No
64,293.66,294.75,2,3,So these are both ten
65,291.91,296.1,2,1,I got no good ok
66,297.06,297.75,2,3,Blue or purple
67,298.74,299.64,2,1,Um
68,300.51,302.82,2,1,I think purple or
69,303.75,309.48,2,2,This would be blue this would be purple yeah I thought they were both blue until
70,303.15,307.25,2,1,Blue yeah no I see that's like a navy blue
71,309.87,311.85,2,2,Question was asked
72,332.49,334.47,2,3,Are we supposed to write on the worksheet
73,335.41,338.13,2,4,If you guys have gotten to the end of that we can
74,334.86,335.33,2,2,Um
75,339.06,340.5,2,2,Ok yep
76,338.52,338.91,2,4,Over
77,339.16,339.42,2,3,Ok
78,343.98,346.75,2,2,Wait a mystery block
79,347.25,348.63,2,4,So
80,351.21,353.19,2,2,Without the scale
81,353.28,357.36,2,4,For the next part of your task you will determine the weight of this mystery block
82,358.26,361.53,2,4,Scale you will have two attempts to enter the weight correctly
83,358.34,358.74,2,2,Ok
84,362.16,363.08,2,4,You can now continue the survey
85,362.16,368.79,2,2,Alright uh we are allowed to use the other blocks in holding the weight
86,381.48,384.42,2,2,Ok so this block is heavier than our fifty
87,384.57,387.39,2,1,Oh yeah much much more
88,419.43,421.68,2,1,Yeah I mean that seems pretty similar
89,429.78,430.58,2,1,That also seems similar
90,432.08,433.47,2,2,Do you want to give it a shot
91,443.04,445.71,2,3,Like all of these
92,456.42,458.4,2,2,All of these together is going to be
93,458.5,458.66,2,2,Fifty  
94,468.03,468.42,2,2,Twenty  
95,468.66,470.55,2,1,Yeah cause that's
