,Utterance,Start,End,Group,Participant,Transcript,int,uns-ov
0,0,3.45,7.14,1,4,I just need to calibrate my cameras real quick,0,0
1,1,9.87,12.45,1,4,Alright so,0,0
2,2,12.63,15.75,1,4,The task that you are doing today is called the weights task,0,0
3,3,16.2,21.36,1,4,In the first part you are going to work together to determine the weight of 5 cubes,0,0
4,4,22.17,24.27,1,4,Um and then,0,0
5,5,24.42,27.72,1,4,And we will tell you that this red cube on top is ten grams,0,0
6,6,29.08,29.83,1,1,Ok yeah  ,0,0
7,7,29.84,31.32,1,4,So uh,0,0
8,8,31.44,34.56,1,4,You don't need to touch the slider on the scale don't worry about that part at all,0,0
9,9,35.01,36.99,1,4,Oh,0,0
10,10,37.83,47.82,1,4,So you have to place sorry please place the scales place the cubes on this worksheet where you prove that they weigh again yes,0,0
11,11,48.27,52.25,1,4,And uh as you are filling it out if you guys can fill out the survey you will be group one,0,0
12,12,52.58,54.84,1,1,Oh and we don't touch the scale yet,0,0
13,13,54.93,58.29,1,4,Um you can touch the scale just like there's a slider,0,0
14,14,58.33,58.84,1,3,It's right there,0,0
15,15,59.22,60.92,1,4,But like you dont need to do anything with the slider,0,0
16,16,60.66,62.49,1,1,Ok so you want us to,0,0
17,17,62.58,65.18,1,1,Use the scale to determine the weights ok cool,0,0
18,18,64.91,69.66,1,4,Yes um and if you guys can fill out that survey like as you go because you'll be submitting answers on there,0,0
19,19,69.81,71.51,1,1,Where's the survey oh ok,0,1
20,20,70.51,70.01,1,3,Um it's turned off,0,0
21,21,72.25,73.53,1,4,Oh,0,0
22,22,75.81,77.17,1,4,And you guys will be group one,0,0
23,23,77.51,77.75,1,2,Ok,0,0
24,24,78.08,80.58,1,1,Ok well it would be nine minus ten,0,1
25,25,78.58,78.08,1,3,One,0,0
26,26,80.58,84.3,1,2,That's ten so then,0,0
27,27,86.07,87.41,1,1,Just like put it on,0,0
28,28,87.48,89.04,1,2,Does the slider move,0,0
29,29,90.12,92.13,1,1,Hold on lets just uh,0,0
30,30,95.19,97.17,1,3,It seems pretty balanced,0,0
31,31,97.56,102.03,1,1,Yeah ok so now we know that this is also ten,0,0
32,32,102.39,105.87,1,1,Um ok so now,0,1
33,33,104.08,104.58,1,2,Ok,0,0
34,34,106.23,110.01,1,1,What would we maybe put that one on there too,0,1
35,35,108.63,109.33,1,2,Cool,0,0
36,36,110.16,114.24,1,1,And then see if there's thats twenty which is not,0,1
37,37,112.16,112.92,1,2,It's more,0,0
38,38,114.87,120.33,1,1,Lets try this one oh gee louise this one,0,1
39,39,117.41,118.25,1,3,No  ,0,0
40,40,121.2,125.01,1,1,Ok lets just oops sorry,0,0
41,41,127.35,132.0,1,2,Ok so this one is probably twenty ten ten twenty,0,1
42,42,128.83,130.08,1,3,Yeah seems about twenty,0,0
43,43,128.41,130.75,1,1,Ok so ten ten twenty,0,0
44,44,132.27,139.65,1,1,Ok so now lets start at thirty alright put one of those on there,0,1
45,45,135.33,135.91,1,3,Yes  ,0,0
46,46,135.73,136.41,1,2,Yeah thirty,1,0
47,47,140.73,145.89,1,1,Ooh its looking like thirty,0,1
48,48,142.91,144.92,1,2,Probably thirty at this point,0,0
