,Utterance,Start,End,Group,Participant,Transcript,int,uns-ov
0,0,3.09,6.9,6,4,I need to callibrate my cameras and then we can get started,0,0
1,1,11.19,14.61,6,4,The task that you will be completing today is called the weights task,0,0
2,2,15.03,20.61,6,4,In the first part you are going to work together to determine the weights of these colorful cubes here,0,0
3,3,21.12,24.51,6,4,I will tell you that the red cube is ten grams,0,0
4,4,25.44,30.93,6,4,All of the weights are in intervals of ten so you don't need to use the slider at all,0,0
5,5,31.35,38.25,6,4,Um the scale like is a little bit finnicky but like as long as it doesn't drop down it's probably good like you can see right now it's,0,0
6,6,39.75,47.55,6,4,Um so as you work through the tasks if you can place the cubes on the sheet where they go and also fill out the survey,0,0
7,7,47.82,50.79,6,4,Um that is on this computer,0,0
8,8,51.0,57.09,6,4,With the answers and you guys are going to be group number six and you can now start the survey,0,0
9,9,61.23,64.67,6,1,I guess if this red one's ten grams,0,0
10,10,63.42,66.0,6,2,We got red ten,1,0
11,11,72.45,76.17,6,1,Seems like it might be about the same,0,0
12,12,80.52,85.29,6,3,I would agree yeah so this one's ten,0,0
13,13,85.47,86.92,6,3,Alright let's see if we can find a twenty,0,0
14,14,89.76,91.06,6,3,Too heavy so,0,0
15,15,91.17,93.15,6,2,Way too heavy,0,0
16,16,97.44,99.78,6,2,This is a sensitive scale,0,0
17,17,102.35,104.28,6,2,Looks like about twenty,0,0
18,18,102.3,103.5,6,1,That's looking pretty even,0,0
19,19,104.76,109.2,6,3,Alright let's see if we can find a thirty,0,0
20,20,110.82,113.19,6,1,So this one is noticeably heavier than,0,0
21,21,109.44,110.75,6,2,Probably that big sucker,0,0
22,22,113.94,115.95,6,1,The purple ish one,0,0
23,23,119.42,121.75,6,1,Making sure that it didn't have the weight at the bottom,0,0
24,24,116.79,125.37,6,2,It's just stuff written at the bottom that's a so that's a ten and a twenty right now right that's looking,0,0
25,25,125.49,127.47,6,2,Well,0,0
26,26,127.62,130.21,6,2,They're increments of ten I would say that's probably,0,0
27,27,130.42,131.76,6,1,Yeah I think,0,0
28,28,130.66,135.96,6,2,Cause that's also a twenty let's double check that that's not also a twenty,1,1
29,29,131.79,132.58,6,1,Yeah it looks a little,0,0
30,30,136.44,141.09,6,2,Cause it um just that one there,0,1
31,31,137.36,138.33,6,3,Is this one a twenty,0,0
32,32,141.18,146.85,6,2,Ok so it's more than twenty but it almost seems like the thirty takes it past but,0,0
33,33,148.2,150.18,6,2,It's so sensitive,0,0
34,34,157.58,159.58,6,2,If they're only in increments of ten it has to be,0,0
35,35,156.33,161.08,6,1,I think yeah it has to be thirty it ,0,0
36,36,160.58,162.57,6,3,I think it could also be the position,1,0
37,37,164.46,166.67,6,2,So big blue is probably thirty,0,0
38,38,162.84,163.67,6,3,Of the weight,0,0
39,39,168.42,171.21,6,1,So I would guess the yellow one is gonna be,0,0
40,40,172.35,174.33,6,1,Forty,0,0
41,41,177.57,178.08,6,2,Fifty,0,0
42,42,178.12,179.55,6,3,Fifty,0,0
43,43,180.33,182.31,6,1,Oh maybe not,0,0
44,44,186.24,190.92,6,3,Yeah that's considerably heavier so this one did we say this was thirty,0,0
45,45,191.01,192.58,6,3,And this was ten,0,0
46,46,192.61,195.21,6,2,Yeah that's thirty green is twenty,0,0
47,47,195.24,196.42,6,2,Red and small blue are both ten,0,0
48,48,196.52,199.41,6,3,It's definitely not thirty so it has to,0,0
49,49,201.21,202.25,6,3,But it's too heavy,0,0
50,50,202.58,203.97,6,1,So that's,0,0
51,51,205.44,209.58,6,1,This is fifty on here so then,0,1
52,52,208.08,209.08,6,3,Yeah fifty,0,0
53,53,208.84,211.5,6,2,Yeah green and big blue,1,0
54,54,211.56,222.66,6,3,Did we try forty we did try forty because this one's thirty and then this one's or this one's twenty so this,0,1
55,55,211.56,211.92,6,1,Big blue,0,0
56,56,215.67,219.67,6,2,Unless she's messing with us and some of these are in increments of five,0,0
57,57,224.5,226.56,6,2,So that should be forty right there,0,0
58,58,223.5,226.56,6,1,Big blue was forty,0,0
59,59,239.41,243.39,6,2,I would say yellow is like forty five but we could say fifty since we're,0,0
60,60,237.36,240.75,6,1,I would say that it is at least closest to fifty,0,0
61,61,243.57,246.33,6,2,Forced with these,0,0
62,62,246.39,248.73,6,1,Alright,0,0
63,63,253.86,255.84,6,2,Sweet,0,0
64,64,258.08,261.46,6,4,Have you filled it out on the computer you guys are group six,0,0
65,65,256.35,257.34,6,3,I think we're done,0,0
66,66,261.83,264.54,6,2,Ok nice,0,0
67,67,268.74,271.38,6,1,Yellow is fifty,0,0
68,68,273.39,278.25,6,2,Green's twenty big blue's thirty,0,0
69,69,278.11,279.48,6,3,Yeah I guess that one's,1,0
70,70,280.11,286.44,6,3,I think that one's purple so blue was ten and then purple was thirty,0,1
71,71,282.21,282.5,6,2,Oh that's purple you're right,0,0
72,72,286.5,288.48,6,2,Yes,0,0
73,73,291.99,299.55,6,3,So red was ten yellow was fifty we're great,0,1
74,74,294.75,295.92,6,2,We got it right good job team,0,0
75,75,304.38,308.52,6,4,You need to now determine the weight of this mystery block,0,0
76,76,308.82,314.61,6,4,Without using the scale you will have two attempts to enter it correctly onto this survey and you can now begin,0,0
77,77,314.94,315.58,6,3,Alright guys,0,0
78,78,315.66,318.27,6,2,Fun oh boy,0,0
79,79,318.33,320.7,6,3,Is it heavy,0,0
80,80,321.27,324.69,6,2,We should each do it separate and see what we think,0,0
81,81,324.75,325.91,6,3,Just don't say it until you,0,0
82,82,325.75,327.51,6,2,Yeah exactly,1,0
83,83,331.65,336.15,6,3,Oh I guess we can see it,0,0
84,84,339.33,340.16,6,2,Ok  ,0,0
85,85,368.76,374.55,6,2,We can't use the scale but what else do we have that can be,0,0
86,86,380.83,383.46,6,2,Are we allowed to make our own scales is there rules,0,0
87,87,377.79,381.02,6,1,I don't think she intends for us,0,0
88,88,385.26,388.8,6,2,Or are you not allowed to tell us what we are allowed to do,0,0
89,89,389.01,390.99,6,4,You guys are just problem solving,0,0
90,90,395.16,399.72,6,2,That's about as even as I can get it unless somebody can,0,0
91,91,394.59,395.67,6,3,I like your idea,0,0
92,92,399.75,402.75,6,2,We're getting close,0,0
93,93,406.41,412.14,6,2,But let's let him do hands and then we'll we'll play with that but I'm thinking,0,0
94,94,412.65,414.66,6,2,More right yeah,0,0
95,95,416.22,419.4,6,2,Yeah maybe one of these,0,1
96,96,417.17,418.42,6,3,I'm interested in this,0,0
97,97,422.19,424.8,6,3,Oh that's a heavy one,0,0
98,98,424.95,427.35,6,2,Yeah,0,0
99,99,427.47,429.9,6,3,Ok,0,0
100,100,432.21,437.07,6,2,Yeah so if you held if you hold them all in one and like yeah,0,1
101,101,434.56,435.84,6,3,Which ones twenty this one,0,0
102,102,437.4,439.38,6,2,Um yeah,0,0
103,103,443.31,447.78,6,2,So now you've got forty on there now you've got,0,0
104,104,452.79,463.65,6,1,Let's see how callibrated this is or,0,0
105,105,457.84,463.65,6,2,Yeah oh yeah yeah put your ten and your ten let's callibrate our little scale,0,0
106,106,465.93,467.67,6,2,So even when they're equal it leans,0,0
107,107,766.92,470.85,6,1,It leans slowly that way,0,0
108,108,472.38,474.9,6,1,Let's try the thirty and then,0,0
109,109,474.99,481.42,6,1,Purple and then let's put green and a ten,0,0
110,110,479.83,483.6,6,3,Alright alright lemme just lemme just give it a go here,1,0
111,111,483.72,488.91,6,3,Alright so how much do we have here one twenty total,0,1
112,112,486.47,487.67,6,2,One twenty total,0,0
113,113,491.66,495.67,6,2,That felt to me like it was heavier than all of those,0,0
114,114,488.94,498.63,6,3,So it's gotta be like a like heavier so it's over one twenty we know that so it's over one twenty,0,0
115,115,498.84,504.3,6,3,I think we can all agree on that how heavier how heavy would you say,0,1
116,116,500.01,500.92,6,2,I would agree with that,0,0
117,117,504.51,508.32,6,3,We've only got two choices above oh we have three choices above,0,0
118,118,509.22,514.25,6,1,Well and it could be past the end of sheet if they're trying to be tricky,0,0
119,119,513.92,517.68,6,2,Yeah she gives us up to one fifty on our survey,1,0
120,120,519.25,529.86,6,2,Who can think of any other oh is there a liquid in there let's do some density stuff let's see drop the blocks into his coffee see how much it goes up,0,1
121,121,520.75,523.5,6,1,Let me see um yes I can ,0,0
122,122,518.46,519.42,6,3,Alright let me see  ,0,0
123,123,530.22,532.84,6,1,Drink enough coffee until it weighs the weight is,0,1
124,124,531.34,532.48,6,2,What's the what's the,0,0
125,125,532.95,534.84,6,3,How much is the yellow one again,0,0
126,126,534.93,535.84,6,2,That one was fifty,0,0
127,127,536.31,537.18,6,3,Fifty,0,0
128,128,537.45,539.94,6,3,Alright so I would say I would say,0,0
129,129,540.57,545.07,6,3,We have one twenty we got at least forty so I would say one sixty,0,0
130,130,545.19,548.16,6,3,So one fifty is the highest yeah,0,1
131,131,546.15,546.56,6,2,Yeah,0,0
132,132,548.22,550.91,6,2,I'm I'm good with it it's real heavy,0,0
133,133,558.75,553.77,6,3,Here if anybody wants to yeah it's heavy,0,0
134,134,556.95,560.34,6,3,These are the only I would go higher than one fifty,0,0
135,135,559.08,560.34,6,2,Yeah,0,0
136,136,560.49,564.03,6,1,See if some of these blocks weigh similar to my coffee,0,1
137,137,560.92,562.84,6,2,That's definitely our only options,0,0
138,138,566.55,568.77,6,3,Do you know how much the coffee weighs though,0,0
139,139,570.05,572.25,6,2,If he just said it off the bat I would be like wow,0,0
140,140,569.13,577.86,6,1,I wonder if we can guess it's similar in weight to these three,0,1
141,141,575.5,576.02,6,3,Alright ,0,0
142,142,578.37,589.08,6,1,So we can use that as an estimate or we can but we know how much these three weigh and if its about the same as the coffee,0,1
143,143,581.25,587.08,6,3,Yeah we don't know how much the coffee weighs though true,0,0
144,144,589.95,593.42,6,2,Oh then we can start adding more is what he's saying ok got it,0,0
145,145,589.83,594.36,6,3,Then yeah the coffe oh ok ,0,0
146,146,594.66,601.74,6,2,So and these three would be yellow purple and blue which would be a hundred right no ninety,0,0
147,147,602.49,605.4,6,1,Yeah if you wanna see and feel it and make sure it's,0,0
148,148,602.49,603.08,6,2,So,0,0
149,149,606.21,608.19,6,1,Roughly the same,0,0
150,150,611.88,615.87,6,2,Sure this might even be a tad tad heavier but,0,0
151,151,620.4,623.22,6,2,Sorry,0,0
152,152,624.84,628.75,6,2,I mean that does seem like we're getting closer interesting,0,0
153,153,627.25,630.72,6,3,So what do you have there two hundred,1,0
154,154,631.65,639.24,6,2,Yeah ninety plus ninety so one eighty yeah I think the heaviest option and if it's wrong go one forty,0,1
155,155,634.08,636.92,6,3,One eighty yeah,0,0
156,156,639.75,642.99,6,2,And we get two tries,0,0
157,157,644.25,646.23,6,2,Here's a hint,0,0
158,158,648.42,650.76,6,3,Ah think of a pattern,0,1
159,159,648.66,649.25,6,1,Oh,0,0
160,160,652.14,654.12,6,1,Ten ten,0,0
161,161,655.41,657.39,6,1,Twenty,0,0
162,162,658.35,663.57,6,1,Thirty oh it's the sum of the previous two weights,0,0
163,163,664.14,668.58,6,1,Ten and ten make twenty ten and twenty make thirty twenty thirty fifty,0,0
164,164,669.24,671.22,6,2,Fifty thirty eighty,0,0
165,165,672.0,679.25,6,2,There's no way that's eighty it feels way heavier but the pattern sticks,0,0
166,166,675.75,679.5,6,3,Hey I'm that's some sound logic right there yeah,1,0
167,167,680.94,682.02,6,3,I like that idea,0,0
168,168,687.67,693.21,6,3,Cause it's definitely not one fifty anyways so we might as well just,0,0
169,169,684.75,687.25,6,2,Yeah I guess now that my I mean,0,0
170,170,696.24,701.5,6,3,What do you guys think that makes sense yeah,0,0
171,171,697.35,702.6,6,1,I I feel like it it I think it feels heaiver but,1,0
172,172,705.18,712.56,6,2,Why can't I think of what this pattern is right now the name for this pattern fib yeah so are we we're doing fib,0,1
173,173,707.68,710.84,6,3,What do you no so like here here's the first one yeah,0,1
174,174,708.08,710.33,6,1,It's the fibonacci sequence,0,0
