,Utterance,Start,End,Group,Participant,Transcript,int,uns-ov
0,0,2.9,5.15,7,4,I need to callibrate my cameras first,0,0
1,1,13.67,16.67,7,4,Okay um and if you could flip that paper over for me,0,0
2,2,18.0,19.5,7,4,There will be content on that paper,0,0
3,3,22.25,25.23,7,4,Okay the task that you are completing is called the weights task,0,0
4,4,26.0,30.25,7,4,In part one you will work together to determine the weights of the five colorable cubes,0,0
5,5,30.9,33.5,7,4,I will tell you that the red cube is ten grams,0,0
6,6,34.59,37.83,7,4,You will determine the weights of the remaining cubes using the scale here,0,0
7,7,39.33,43.58,7,4,All of the weights are in intervals of ten grams so you don't need to touch the slider on the scale,0,0
8,8,44.08,49.58,7,4,The scale is not perfect so as long as one side doesn't drop down you can assume that the weights are equal,0,0
9,9,50.58,56.08,7,4,Uh you will place the blocks onto these onto the worksheet once you have determined their weight,0,0
10,10,56.84,59.08,7,4,And you will also enter the weight into this survey here,0,0
11,11,59.47,62.31,7,4,You guys are going to be group number seven and you can go ahead and get started,0,0
12,12,63.87,66.17,7,3,Do I just type in the group number now or,0,0
13,13,65.91,66.01,7,4,Yeah,0,0
14,14,74.0,74.25,7,3,Okay,0,0
15,15,78.34,80.09,7,2,Let's start with the smallest block,0,0
16,16,93.75,94.25,7,3,Yeah.,0,0
17,17,94.5,95.75,7,1,Yeah almost,0,0
18,18,98.5,101.75,7,3,I think so as well or I think it's the other way around uh,0,0
19,19,105.34,105.84,7,3,Yeah,0,0
20,20,107.08,107.34,7,1,Okay,0,0
21,21,107.31,109.09,7,2,It seems to be ten,1,0
22,22,110.32,111.14,7,3,Yeah uh,0,0
23,23,112.42,114.67,7,2,Is that blue or purple this is blue I guess,0,0
24,24,114.41,115.17,7,3,This is blue,1,0
25,25,116.42,118.12,7,3,And this was ten,0,0
26,26,118.63,119.11,7,3,Okay,0,0
27,27,119.25,123.5,7,2,and we can now we have twenty so we can try to put one of them,0,0
28,28,123.53,123.75,7,3,Sure,0,0
29,29,125.75,127.5,7,3,Oh that's the heaviest,0,0
30,30,128.54,129.82,7,2,Oh this seems to heavy,0,0
31,31,130.34,130.53,7,1,Oh,0,0
32,32,130.82,131.31,7,3,Okay,0,0
33,33,136.92,138.42,7,1,Think it should be,0,0
34,34,139.87,142.15,7,3,Yeah they should be twenty as well,0,0
35,35,145.93,146.25,7,3,Okay,0,0
36,36,147.5,149.0,7,3,Should I put this as twenty,0,0
37,37,148.95,149.25,7,1,Yeah,0,0
38,38,149.74,150.25,7,1,Green,0,0
39,39,151.5,151.75,7,3,Okay,0,0
40,40,152.57,153.59,7,1,Now it's forty,0,0
41,41,154.52,155.09,7,3,And,0,0
42,42,155.75,156.25,7,1,This is,0,0
43,43,157.59,158.81,7,2,You can try I'm always,0,0
44,44,159.06,160.01,7,1,No no no that's silly,0,0
45,45,160.86,161.59,7,2,I think that's heavier,0,0
46,46,162.17,163.67,7,1,This one or this one,0,0
47,47,163.58,164.92,7,2,eh that one is lighter yeah,1,0
48,48,179.32,181.84,7,3,Yeah I think it's yeah thirty,0,1
49,49,180.82,181.31,7,1,Thirty,0,0
50,50,184.42,184.62,7,3,Yup,0,0
