,Utterance,Start,End,Group,Participant,Transcript,int,uns-ov
0,0,3.9,6.4,10,4,Let me Calibrate my cameras real quick Oh I'm just,0,0
1,1,14.67,19.08,10,3,Oh okay,0,0
2,2,7.37,7.65,10,3,Sorry,0,0
3,3,15.38,18.92,10,4,Okay The test that you are completing today is called the weights test The test that you are completing today is called the weights test,0,0
4,4,19.67,23.17,10,4,In part one you will work together to determine the weights of the five colorful cubes,0,0
5,5,24.01,26.75,10,4,I will tell you that the red cube is ten grams,0,0
6,6,27.57,30.84,10,4,You will determine the weights of the remaining cubes using the scale here,0,0
7,7,31.53,42.59,10,4,All of the weights are intervals of ten grams so you don't need to use the slider um and the scale is not perfect so as long as one side doesn't drop you can assume the weights are fairly equal,0,0
8,8,43.52,51.002,10,4,You must place the cubes onto this worksheet once you have determined their weight and also enter their weight in the survey on the computer,0,0
9,9,51.75,54.58,10,4,Uh you can now start the survey You guys are gonna be group number ten,0,0
10,10,55.33,57.08,10,3,Okay so the red is ten grams?,0,0
11,11,57.33,57.4,10,2,Yeah,0,0
12,12,57.59,58.32,10,3,Okay  ,0,0
13,13,58.47,59.92,10,1,So I suppose like,0,0
14,14,60.67,65.67,10,1,Let's assume that the bigger ones are ,0,0
15,15,66.58,70.0,10,2,Let's put two yeah Red one as well,0,1
16,16,68.25,69.5,10,1,We can put that other one here too,0,0
17,17,71.73,72.25,10,3,Hmmm,0,0
18,18,74.0,74.98,10,2,Too hard a selection,0,0
19,19,78.08,79.06,10,1,Yeah I suppose,0,0
20,20,79.58,82.08,10,3,I guess this is like twenty and this is like ten and ten,0,0
21,21,82.33,82.84,10,2,Hopefully,0,0
22,22,82.97,87.91,10,3,I mean what why didn't we first check out whether these two are equal They are of equal size but,0,1
23,23,85.41,86.17,10,1,Yeah,0,0
24,24,87.41,90.17,10,2,They're the same Uhhhh just don't want to touch it,1,0
25,25,96.5,98.0,10,3,It looks like they're fairly equal,0,0
26,26,100.0,101.08,10,2,Yeah I suppose,0,0
27,27,100.84,102.85,10,3,Right so then that's twenty these two are ten,1,0
28,28,104.33,105.32,10,2,Let's see,0,0
29,29,104.59,106.59,10,1,That would make sense to me,1,0
30,30,108.83,110.92,10,2,Just a sec let it settle for the,0,0
31,31,111.42,111.62,10,3,Mmhmm,0,0
32,32,115.17,115.92,10,3,Hmmm,0,0
33,33,117.42,119.17,10,3,Looks fairly equal to me yeah,0,1
34,34,117.46,118.87,10,2,Yeah they're together,0,0
35,35,119.75,128.25,10,3,Alright Well now let's do these two I can already tell this one's heavier yeah,0,1
36,36,119.75,129.84,10,2,Yeah they're they're equal Heavier So let's put the ten one ten,0,1
37,37,123.0,123.75,10,1,You can just,0,0
38,38,130.33,131.08,10,2,Let's put one ten,0,0
39,39,132.58,133.08,10,2,Let's see,0,0
40,40,136.34,142.91,10,1,I say they are equal Those are the instructions I suppose,0,1
41,41,138.43,139.92,10,2,Yeah fairly equal but let's see,0,0
42,42,142.92,144.13,10,3,We gotta be,0,0
43,43,145.5,146.0,10,3,Oh,0,0
