,Utterance,Start,End,Group,Participant,Transcript,int,uns-ov
0,0,11.82,27.57,3,4,Ok so the test that you are going to be completing today oh I can take those consent forms sorry thank you the test you are going to be completing today is the weights test,0,0
1,1,28.2,32.67,3,4,In the first part you are going to work together to determine the weights of these blocks,0,0
2,2,33.39,38.04,3,4,We will tell you that the weight of the red cube is ten grams,0,0
3,3,38.76,42.57,3,4,You will determine the weights of the remaining cubes using this scale,0,0
4,4,43.68,46.5,3,4,All of the weights are in intervals of ten grams,0,0
5,5,46.86,50.43,3,4,You don't need to use the slider or anything ,0,0
6,6,51.0,58.38,3,4,And the the weights aren't always perfect so like if it's teetering it's probably fine,0,0
7,7,58.44,60.57,3,4,Like it it drops one's probably heavier,0,0
8,8,61.35,64.23,3,4,Um and then,0,0
9,9,64.26,75.69,3,4,You will place the cubes on the worksheet where you think they are and you will also record your answers here on this survey here on the computer. You guys will be group three,0,0
10,10,77.91,80.37,3,4,And you can now start the survey,0,0
11,11,80.55,86.25,3,1,Alright so shall we,0,0
12,12,86.43,87.67,3,1,Prepare things for this one,0,0
13,13,88.25,89.4,3,3,Yeah,0,0
14,14,112.41,114.39,3,1,So you think they're the same weight or,0,0
15,15,116.13,118.17,3,1,They're still teetering,0,0
16,16,144.5,147.27,3,1,I think they're the same weight yeah,0,0
17,17,142.38,145.07,3,2,I think they are same weight,0,0
18,18,148.62,150.2,3,1,So,0,0
19,19,148.62,149.75,3,3,So  ,0,0
20,20,149.24,150.25,3,1,So the ,0,0
21,21,151.25,152.4,3,2,Right here right,0,0
22,22,152.43,155.22,3,3,Um  ,0,0
23,23,160.57,162.0,3,3,So ,0,0
24,24,159.15,160.56,3,1,So,0,0
25,25,162.4,165.36,3,3,The blue one is also ten right,0,0
26,26,165.45,167.82,3,3,So I should indicate it as ten,0,0
27,27,165.45,165.67,3,1,Right  ,0,0
28,28,168.99,171.72,3,1,Um I'm going to see if there's a lighter one,0,0
29,29,186.96,192.42,3,1,The suspense is killing me it takes forever,0,0
30,30,214.42,219.93,3,3,Yes it's probably twenty so green one is twenty,0,0
31,31,212.13,214.16,3,1,Sufficient to say that one's probably twenty or,0,0
32,32,219.96,226.53,3,2,Then well uh no uh I want to check if any block is thirty so,0,0
33,33,219.91,224.42,3,1,What do you want,1,0
34,34,232.32,235.65,3,1,I think that's a good guess,0,0
35,35,236.34,238.32,3,2,So,0,0
36,36,238.47,240.45,3,2,The purple one is thirty,0,0
37,37,241.8,243.42,3,3,Purple is thirty yeah ,0,0
38,38,243.66,246.0,3,2,Which is blue and which is purple,0,0
39,39,246.36,247.42,3,2,Hold that purple,0,0
40,40,246.36,250.86,3,1,I think this is more purple-y yeah,0,1
41,41,248.5,250.25,3,3,This is blue maybe ,0,0
42,42,251.49,253.47,3,1,Um,0,0
43,43,254.04,264.18,3,1,This one feels just a smidge heavier yeah try that one,0,0
44,44,264.21,266.16,3,3,Green is twenty right,0,0
45,45,265.65,268.29,3,2,Green and this one,1,0
46,46,269.35,272.58,3,3,Green is twenty and purple is thirty so it weighs to fifty,0,0
47,47,274.95,277.05,3,1,It seems to be,0,0
48,48,277.53,279.75,3,3,Yeah I mentioned here green is twenty,0,0
49,49,277.92,281.43,3,2,It's leaning more this side so,1,0
50,50,285.18,287.82,3,2,It's leaning more to the side,0,0
51,51,288.93,294.3,3,3,So how about yellow,0,0
52,52,298.35,300.96,3,2,Then green is twenty and they weigh,0,0
53,53,295.29,298.0,3,3,Uh put both of these,0,0
54,54,302.91,305.34,3,3,Yeah just to confirm,0,0
55,55,305.46,309.58,3,1,Wait purple is how much purple was thirty,0,0
56,56,309.08,310.8,3,3,Purple is thirty,1,0
57,57,314.1,315.58,3,3,Yellow is of course not ten but,0,0
58,58,316.41,317.43,3,1,And green is ,0,0
