,Utterance,Start,End,Group,Participant,Transcript,int,uns-ov
0,0,5.97,8.04,8,2,Or is it,0,0
1,1,8.07,11.55,8,2,Yeah green is for twenty,0,0
2,2,13.08,15.21,8,3,Ok so now,0,0
3,3,15.45,18.21,8,3,I'll just take these off and then we can have a little more,0,0
4,4,18.93,22.31,8,3,fine grained control oh,0,0
5,5,21.66,22.5,8,1,Sorry,0,0
6,6,22.65,24.63,8,3,It's ok,0,0
7,7,25.74,29.02,8,1,Can I add the red one or blue one here maybe it might be thirty,0,0
8,8,25.74,29.31,8,3,Cause yeah,0,0
9,9,32.52,35.67,8,2,So twenty that's thirty,0,0
10,10,36.9,38.88,8,3,Yeah  ,0,0
11,11,42.6,47.75,8,3,I mean the fact that it's teetering back and forth it's close enough they're just increments of ten grams,0,0
12,12,45.45,48.72,8,1,Yeah so the blue one is thirty,1,0
13,13,48.78,51.75,8,2,Blue is thirty big blue is thirty,0,0
14,14,45.75,50.01,8,3,Yeah,0,0
15,15,51.87,54.33,8,3,So it's thirty here,0,0
16,16,56.55,64.66,8,2,Did we measure we didn't measure the the yellow one right we might,0,1
17,17,58.58,64.86,8,1,Did we measure we didn't measure the yellow just keep one,1,1
18,18,61.33,62.83,8,3,Oh I thought ok ,0,0
19,19,65.67,67.95,8,1,And keep the thirty,0,0
20,20,60.3,73.95,8,2,Let's try both the green ones now I mean both the big ones yeah,1,1
21,21,67.98,69.43,8,3,Let's try,0,0
22,22,74.12,74.75,8,2,Too heavy,0,0
23,23,74.07,76.05,8,1,Oh that's too left,0,0
24,24,76.41,78.45,8,1,Try the red,0,0
25,25,78.51,80.61,8,1,Keep that one,0,0
26,26,84.75,88.17,8,2,What if we do the green one and the two smaller cubes,0,0
27,27,88.53,91.26,8,2,Cause that's going to be pushing that way,0,0
28,28,91.53,92.76,8,3,Gotcha are they centered,0,0
29,29,93.62,95.79,8,1,This is twenty or thirty,0,0
30,30,96.31,99.69,8,3,Let's just make sure I guess they are centered,0,0
31,31,96.06,96.75,8,2,Yeah I feel that way,0,0
32,32,98.25,99.25,8,3,These are ten,0,0
33,33,100.05,106.25,8,2,Green green is twenty so green is twenty and then we said this one is thirty right,0,0
34,34,100.45,106.77,8,3,Green is twenty ok green is twenty thirty yeah,1,0
35,35,107.01,108.99,8,1,But let's see let's,0,0
36,36,114.15,117.0,8,1,Needs more weight,0,0
37,37,117.36,119.58,8,1,Let's try forty,0,0
38,38,119.76,126.39,8,2,That's too light and we know that green is equal to,0,0
39,39,126.42,128.4,8,2,This one and that one,0,0
40,40,128.94,131.25,8,2,So let's try this one too,0,0
41,41,132.0,134.91,8,1,Oh it's more than forty,0,0
42,42,136.23,141.09,8,3,So let's see the weights we know,0,0
43,43,144.78,146.76,8,1,Between forty and fifty,0,0
44,44,155.4,157.66,8,2,It's definitely not staying in between right,0,0
45,45,157.58,159.33,8,1,Yeah it's more than forty,1,0
46,46,159.64,162.21,8,3,But which one was thirty I'm just,0,0
47,47,162.3,164.88,8,1,This is thirty this is twenty,0,1
48,48,162.82,163.58,8,3,Thirty ok,0,0
49,49,163.08,164.88,8,2,Yeah twenty  ,1,0
50,50,165.72,166.33,8,2,So what if we do,0,0
51,51,166.66,168.09,8,1,This is more than forty,0,0
52,52,168.21,170.67,8,1,But we don't and less than fifty actually,0,0
53,53,171.39,173.97,8,3,Yeah,0,0
54,54,174.33,175.16,8,1,Twenty plus ten thirty,0,0
55,55,175.91,177.18,8,2,Thirty  ,0,0
56,56,178.17,180.15,8,1,Forty,0,0
57,57,187.98,190.38,8,1,Forty,0,0
58,58,191.28,191.92,8,1,Fifty,0,0
59,59,192.41,194.13,8,2,Fifty so heavy or,0,0
60,60,194.46,196.62,8,1,Fifty is too heavy,0,0
61,61,198.15,203.75,8,3,I mean it could be just like how they were placed on like measured at like I don't know,0,0
62,62,197.1,198.92,8,1,Yeah it is between forty and fifty,0,0
63,63,202.25,204.87,8,2,Like can we use a combination of,1,0
64,64,206.83,210.08,8,3,We can't we can't get between so,0,0
65,65,206.07,212.19,8,1,We tried all of the combinations yeah yeah we can try this,0,1
66,66,209.82,211.22,8,2,So we can move one of these,1,0
67,67,213.6,215.58,8,3,Yeah but,0,0
68,68,215.97,220.35,8,3,We know it's between forty and fifty we can't really,0,1
69,69,217.93,219.24,8,1,We can add weight,0,0
70,70,220.5,224.4,8,3,Cause everything else we know is like a multiple of ten so we just can't,0,1
71,71,223.66,224.33,8,2,Yeah,0,0
72,72,225.06,227.49,8,3,Directly compare it um,0,0
73,73,227.73,231.03,8,1,Actually just adding one gram made it equal,0,0
74,74,232.47,234.45,8,1,I just added one gram,0,0
75,75,234.93,237.9,8,2,Oh yeah cause it's a scale yeah so,0,0
76,76,237.08,237.9,8,3,Yeah,0,0
77,77,237.93,239.33,8,1,So it's forty one,0,0
78,78,241.63,243.21,8,2,Yeah forty one,0,0
79,79,246.3,248.52,8,2,So should we,0,0
80,80,248.55,251.25,8,2,Where should we put it then in forty,0,0
81,81,249.58,252.9,8,1,I think actually everything is not round figured,1,0
82,82,253.23,258.84,8,1,Presume because they didn't come to that sect right shall we try to measure it accurately,0,0
83,83,259.22,261.87,8,3,Wait so is this just in the wrong place or is this the twenty,0,0
84,84,259.11,260.01,8,1,Precisely,0,0
85,85,264.17,271.62,8,3,Is this in the wrong place or is this ok so this is thirty fifty minus one so ,0,0
86,86,263.01,272.73,8,1,Shall we try that no it's twenty yeah one no not minus one minus nine,0,0
87,87,272.91,277.75,8,1,Ok minus one it is yeah so it is forty nine,0,1
88,88,274.25,278.28,8,1,Yeah forty nine yeah,0,1
89,89,275.25,276.5,8,2,Minus one forty nine,0,0
90,90,280.2,284.04,8,3,Ok so it's probably meant to be just fifty and was placed differently,0,0
91,91,284.34,286.32,8,3,And callibrate it,0,0
92,92,287.28,289.59,8,3,Would you agree with that,0,0
93,93,295.35,296.25,8,3,I think we're done,0,0
94,94,297.5,298.41,8,1,Yeah,0,0
95,95,298.65,302.94,8,4,Have you filled out the survey on the computer as well and you guys will be ,0,0
96,96,299.91,300.3,8,1,No  ,0,0
97,97,310.2,312.5,8,3,Should we double check anything or just assume that we got it ,0,0
98,98,312.66,315.48,8,1,Should we be precise to one gram,0,0
99,99,318.01,319.92,8,4,Just do rounding to tenths,0,0
100,100,316.92,323.37,8,1,Should we tenths length ok that's fine yeah,0,1
101,101,320.17,322.75,8,2,Ok so fifty is fine,0,0
102,102,323.49,326.25,8,3,Yeah we just got stumped cause it was like,0,0
103,103,326.28,328.44,8,3,Close,0,0
104,104,329.73,333.66,8,3,Yeah so we're definitely right,0,1
105,105,331.55,332.24,8,2,Yeah,0,0
106,106,336.18,339.84,8,3,So you want to just like tell me the numbers cause,0,0
107,107,340.06,348.0,8,2,So yellow is fifty they said yellow's cause it was forty so yellow's fifty green is twenty,0,1
108,108,342.92,343.17,8,1,Yeah,0,0
109,109,349.74,352.02,8,2,Um purple is thirty,0,0
110,110,353.88,358.05,8,2,Yeah and and um what's the other one blue blue is ten,0,0
111,111,359.16,365.25,8,2,Yeah I was like yeah I was like kind of confused wait what the lighting but,0,0
112,112,365.91,368.13,8,2,So red is ten blue is,0,1
113,113,366.56,366.84,8,3,Fifty,0,0
114,114,369.09,371.07,8,2,Was thirty yep,0,0
115,115,371.1,373.5,8,2,Um green is twenty yep and then yellow,0,0
116,116,379.32,380.08,8,2,Ok which way,0,0
117,117,380.58,381.81,8,1,White block,0,0
118,118,382.26,384.24,8,3,Mystery block,0,0
119,119,385.08,396.57,8,4,Ok now you need to determine the weight of this mystery block without using the scale,0,0
120,120,384.3,391.84,8,1,Is there any mystery block third weight,0,0
121,121,394.23,395.01,8,2,Nice,0,0
122,122,396.75,399.24,8,4,You will have two attempts to enter the weight correctly,0,0
123,123,399.92,405.01,8,3,Ok so it might have to do with the numbers and stuff but,0,0
124,124,399.27,399.75,8,4,And you can now begin,0,0
125,125,402.01,405.57,8,1,It's like um,1,0
126,126,405.84,406.82,8,3,Either that or we could just,0,0
127,127,406.75,410.1,8,1,I think it's for data reference I don't know,1,0
128,128,410.79,413.64,8,3,Pretty heavy so let's read the numbers to see if we can,0,0
129,129,413.82,415.8,8,3,Notice a pattern,0,0
130,130,417.48,421.38,8,2,Interesting I was definitely right yeah it's definitely,0,0
131,131,421.77,424.95,8,2,Hundred and fifty grams but um,0,0
132,132,425.1,428.34,8,2,I mean we could use a combination of these,0,0
133,133,432.59,438.81,8,1,Actually since the like the density is different we can't actually compare directly,0,0
134,134,429.96,431.08,8,2,To see you know how to ,0,0
135,135,439.71,442.56,8,3,Yeah but let's make sure we don't lose our order,0,0
136,136,442.74,450.81,8,3,Um and if you notice they all have this kind of stuff written on them so maybe this is,0,1
137,137,442.92,449.42,8,1,Um yeah green is twenty yep let's check that,0,0
138,138,452.33,453.99,8,2,Well they all say the same thing,0,0
139,139,451.47,451.98,8,1,Thirty or ,0,0
140,140,454.56,456.63,8,2,They all say,0,0
141,141,458.4,460.38,8,1,They all say the same thing actually,0,0
142,142,460.62,464.37,8,2,So I don't think it matters um,0,1
143,143,462.33,464.07,8,3,Gotcha  ,0,0
