,Utterance,Start,End,Group,Participant,Transcript,Manual Labeling 1
0,17,65.43,74.13,5,1,So you hold that at the end of the scale yeah it goes here ok,Passive
1,18,68.88,74.02,5,2,So we know this is ten set it there for privacy,Competitive
0,39,147.96,154.32,5,3,So the green we think is twenty ok so let's see we can use our hands as well,Passive
1,40,149.68,151.01,5,2,The green is twenty,Competitive
0,41,154.47,159.75,5,1,This is heavier than this one so this is twenty this is heavier than this one,Passive
1,42,156.5,157.58,5,2,Which one is heavier,Competitive
0,50,174.48,183.63,5,2,Teeter teeter we know it's less than forty and greater than twenty so it's likely thirty we don't have any other options it it's gonna be thirty,Passive
1,51,175.5,181.24,5,1,What if I do this ok so less than forty likely thirty ok,Competitive
0,59,205.77,218.67,5,1,This looks almost a little bit heavier but it is it's close enough so fifty is not an option yeah definitely let's put sixty,Passive
1,61,207.34,211.67,5,3,Yeah I'd make it a five if we had a five option ,Competitive
0,60,207.25,218.67,5,2,Yeah so I think fifty because this is fifty right definitely less than sixty,Passive
1,61,207.34,211.67,5,3,Yeah I'd make it a five if we had a five option ,Competitive
0,63,223.92,229.77,5,1,Less than sixty it's gotta be fifty yeah so ok if we filled this out,Passive
1,64,225.75,226.67,5,3,Yellow fifty,Competitive
0,66,231.34,233.31,5,2,Ten ten twenty,Passive
1,67,231.95,232.33,5,1,Twenty,Supportive
0,68,233.58,236.64,5,1,I think this is fifty and this is thirty,Passive
1,69,235.08,235.92,5,2,I think that's fifty,Competitive
0,74,249.72,253.59,5,2,I mean I don't I don't think we need to confirm this but we just do that one so I think we're,Passive
1,75,251.92,252.65,5,1,Yeah that's fine,Supportive
0,84,270.27,287.13,5,1,Fifty was yellow twenty was yeah we were right oh another block so we hit next on here,Passive
1,85,277.85,273.83,5,3,Green was twenty yep nice,Competitive
0,95,316.35,319.95,5,1,Ok alright so what if we what if we this is eighty,Passive
1,96,317.44,318.42,5,2,This is fifty,Competitive
0,99,344.13,347.37,5,2,Yeah it's still heavier definitely,Passive
1,100,346.41,347.27,5,1,Yeah,Supportive
0,101,347.55,349.95,5,2,I think so,Passive
1,102,348.02,349.85,5,1,Go ahead,Supportive
0,106,368.25,372.41,5,2,This is how much that's thirty fifty thirty twenty so that's a hundred,Passive
1,107,368.67,372.17,5,3,Uh so fifty thirty twenty,Supportive
0,115,407.94,500.15,5,2,I can't tell they're really close,Passive
1,118,416.73,418.9,5,3,Feels identical,Supportive
0,115,407.94,500.15,5,2,I can't tell they're really close,Passive
1,120,425.58,428.01,5,1,Ok alright  ,Supportive
