,Utterance,Start,End,Group,Participant,Transcript,Manual Labeling 1
0,15,66.58,70,10,2,Let's put two yeah Red one as well,Passive
1,16,68.25,69.5,10,1,We can put that other one here too,Competitive
0,22,82.97,87.91,10,3,I mean what why didn't we first check out whether these two are equal They are of equal size but,Passive
1,23,85.41,86.17,10,1,Yeah,Supportive
0,33,117.42,119.17,10,3,Looks fairly equal to me yeah,Passive
1,34,117.46,118.87,10,2,Yeah they're together,Supportive
0,35,119.75,128.25,10,3,Alright Well now let's do these two I can already tell this one's heavier yeah,Passive
1,37,123,123.75,10,1,You can just,Competitive
0,36,119.75,129.84,10,2,Yeah they're they're equal Heavier So let's put the ten one ten,Competitive
1,37,123,123.75,10,1,You can just,Competitive
0,40,136.34,142.91,10,1,I say they are equal Those are the instructions I suppose,Passive
1,41,138.43,139.92,10,2,Yeah fairly equal but let's see,Supportive
0,44,146.28,150.25,10,3,Try this one out as well like after some time wait wait wait let's let's see if it balances,Passive
1,45,149.75,150.11,10,2,Yeah,Supportive
0,52,180.78,202.56,10,2,I'm guessing it's a little bit to the left a little bit to the left like It touches the red line but on the left hand side of the left line red it's gonna be heavier Like not equal but almost almost equal How do wait how do we know this one's twenty did we no we didn't,Passive
1,53,184.06,202.21,10,3,Yeah so let's try to put that on top and see Okay so it's definitely not like fourty Like thirty two thirty three what do you say Cause this one's twenty this one's ten Cause we did it,Competitive
0,54,203.33,216.41,10,2,We we moved it and checked the two tens remember we didn't do this one Okay yeah sure sure sure yeah yeah put thirty Thirty yeah,Competitive
1,56,208.39,212.15,10,1,To begin with also like we don't really have time to do this,Competitive
0,55,207.46,217,10,3,Yeah but then when we have the two yeah Yeah yeah so I would say around thirty two or something,Competitive
1,56,208.39,212.15,10,1,To begin with also like we don't really have time to do this,Competitive
0,63,247.61,254.24,10,2,So this one's thirty and what's this one twenty right Twenty okay so this one's gonna be fifty okay,Passive
1,64,250.73,250.83,10,1,Twenty,Supportive
0,63,247.61,254.24,10,2,So this one's thirty and what's this one twenty right Twenty okay so this one's gonna be fifty okay,Passive
1,65,250.75,251.5,10,3,Twenty Yeah,Supportive
0,74,283.84,286.57,10,2,This is like less than fifty less than fifty,Passive
