,Utterance,Start,End,Group,Participant,Transcript,Manual Labeling 1
0,48,179.32,181.84,7,3,Yeah I think it's yeah thirty,Passive
1,49,180.82,181.31,7,1,Thirty,Supportive
0,56,207.51,211.07,7,2,So it's not exactly aligning but it could be,Passive
1,57,209.84,211.02,7,3,No no no no,Competitive
0,66,236.42,244.67,7,3,Fifty oh purple is thirty yellow,Passive
1,67,239.45,242.67,7,1,I'm sorry It purple is thirty,Competitive
0,69,246.75,251,7,2,So this seem it's little more yeah so should I put something here,Passive
1,70,248.75,249.25,7,3,On the left,Supportive
0,78,265.14,273.75,7,3,Yeah no it's still on the left,Ruled out
1,79,267.67,270,7,2,Yeah but we put both ten so that they cancel out,Competitive
0,78,265.14,273.75,7,3,Yeah no it's still on the left,Ruled out
1,80,269.75,272.25,7,1,Now it's completely now,Competitive
0,83,281.26,284.54,7,3,Thirty and then yeah,Passive
1,84,281.33,282.84,7,2,Thirty plus thirty plus  ,Competitive
0,93,323.17,325.75,7,3,Yeah it's I don't know,Passive
1,94,323.5,324.56,7,2,What does this do,Competitive
0,96,328.84,334.82,7,1,It's mmm it's this way plus five so you can,Passive
1,97,333.07,333.33,7,3,Oh,Supportive
0,104,358.33,363.17,7,3,So if you move it there then we're adding like five grams yeah to that one,Passive
1,105,360.42,362.57,7,1,Going to this one yeah,Supportive
0,104,358.33,363.17,7,3,So if you move it there then we're adding like five grams yeah to that one,Passive
1,106,361.42,361.92,7,2,There,Supportive
0,105,360.42,362.57,7,1,Going to this one yeah,Ruled out
1,106,361.42,361.92,7,2,There,Competitive
0,111,380,385.92,7,2,Yeah are we allowed to ask questions,Passive
1,112,381.25,383.56,7,1,But it doesn't have any,Competitive
0,121,419.25,425.75,7,3,Oops oh I don't know yeah I think so,Passive
1,122,422,425.44,7,2,Fifty fifty,Supportive
0,153,537.92,539.61,7,3,Okay yeah,Ruled out
1,154,538.42,538.92,7,1,Okay,Supportive
0,161,594.91,610.14,7,3,I don't know like could somebody else like try Ok I can yeah I think we have like two attempts to tell it to you yeah,Passive
1,162,600.75,602.82,7,2,ok you both try not to look so that,Competitive
0,167,621,630.5,7,3,Yes No no we can like talk about it amongst ourselves we just have like two tries to like fill it in,Passive
1,168,622,624,7,1,So it's this last try,Competitive
0,203,805.09,817.33,7,2,It's very difficult I don'­t know what side it is Like if you pick it up like this so this is why I felt it is seventy is because I was holding it like this ,Passive
1,204,806.59,812.33,7,1,Because it's not just when we weighed it's not just the weight it's could be,Competitive
0,218,869.42,873.5,7,2,no I said seventy but now it could be more I don'­t know,Passive
1,219,869.66,871,7,1,I think it should be ,Competitive
